label,filename,partition,sk_L,sk_a,sk_b,hr_L,hr_a,hr_b,lp_L,lp_a,lp_b,ey_L,ey_a,ey_b
DARK AUTUMN,10306.jpg,train,150.0,4.0,11.0,10.0,0.0,0.0,120.0,22.0,6.0,54.0,3.0,0.0
DARK AUTUMN,10411.jpg,train,95.0,9.0,1.0,18.0,-1.0,2.0,61.0,18.0,-1.0,57.0,0.0,-4.0
DARK AUTUMN,10552.jpg,train,163.0,9.0,16.0,18.0,-1.0,-1.0,138.0,22.0,13.0,30.0,-1.0,1.0
DARK AUTUMN,11174.jpg,train,137.0,4.0,10.0,24.0,0.0,2.0,114.0,18.0,4.0,26.0,2.0,0.0
DARK AUTUMN,11199.jpg,train,166.0,-1.0,8.0,96.0,0.0,6.0,99.0,37.0,14.0,38.0,4.0,-1.0
DARK AUTUMN,11438.jpg,train,92.0,9.0,14.0,74.0,0.0,3.0,88.0,12.0,13.0,20.0,1.0,2.0
DARK AUTUMN,12148.jpg,train,43.0,7.0,4.0,9.0,0.0,-1.0,16.0,4.0,1.0,5.0,2.0,0.0
DARK AUTUMN,12178.jpg,train,155.0,4.0,8.0,43.0,2.0,5.0,132.0,14.0,1.0,43.0,2.0,4.0
DARK AUTUMN,12497.jpg,train,126.0,4.0,14.0,2.0,0.0,-1.0,95.0,17.0,12.0,39.0,0.0,3.0
DARK AUTUMN,12897.jpg,train,155.0,6.0,9.0,58.0,1.0,0.0,137.0,16.0,5.0,97.0,3.0,2.0
DARK AUTUMN,13212.jpg,train,65.0,4.0,9.0,16.0,1.0,1.0,82.0,8.0,4.0,10.0,2.0,2.0
DARK AUTUMN,13479.jpg,train,85.0,5.0,10.0,0.0,0.0,0.0,89.0,5.0,2.0,48.0,2.0,1.0
DARK AUTUMN,13721.jpg,train,146.0,1.0,8.0,18.0,0.0,-1.0,118.0,15.0,5.0,53.0,1.0,-1.0
DARK AUTUMN,14706.jpg,train,163.0,0.0,-6.0,36.0,2.0,3.0,123.5,15.0,-3.0,34.0,3.0,-9.0
DARK AUTUMN,14841.jpg,train,97.0,5.0,6.0,52.0,-1.0,-7.0,81.0,7.0,4.0,52.0,6.0,7.0
DARK AUTUMN,15102.jpg,train,94.0,14.0,19.0,20.0,-1.0,-1.0,86.0,16.0,7.0,62.0,0.0,-2.0
DARK AUTUMN,15219.jpg,train,170.0,7.0,23.0,89.0,0.0,-1.0,155.0,20.0,19.0,0.0,0.0,0.0
DARK AUTUMN,15270.jpg,train,84.0,5.0,12.0,14.0,0.0,0.0,64.0,6.0,6.0,17.0,0.0,-1.0
DARK AUTUMN,15320.jpg,train,112.0,1.0,12.0,23.0,0.0,1.0,134.0,8.0,1.0,47.0,2.0,5.0
DARK AUTUMN,15503.jpg,train,83.0,10.0,17.0,0.0,0.0,0.0,101.0,16.0,17.0,26.0,4.0,3.0
DARK AUTUMN,15685.jpg,train,124.0,5.0,10.0,8.0,0.0,0.0,86.0,19.0,2.0,15.0,1.0,-2.0
DARK AUTUMN,15882.jpg,train,95.0,10.0,14.0,15.0,0.0,0.0,90.0,18.0,10.0,58.0,2.0,5.0
DARK AUTUMN,15921.jpg,train,50.0,9.0,12.0,21.0,0.0,-1.0,50.0,14.0,12.0,9.0,0.0,1.0
DARK AUTUMN,15924.jpg,train,106.0,3.0,9.0,14.0,0.0,1.0,97.0,16.0,1.0,58.0,-2.0,-4.0
DARK AUTUMN,16006.jpg,train,118.0,1.0,7.0,67.0,-3.0,0.0,115.0,7.0,3.0,54.0,-2.0,0.0
DARK AUTUMN,16444.jpg,train,139.0,43.0,32.0,1.0,0.0,0.0,146.0,50.0,5.0,9.0,8.0,-1.0
DARK AUTUMN,17265.jpg,train,86.0,4.0,7.0,77.0,-2.0,0.0,84.0,8.0,5.0,32.0,1.0,1.0
DARK AUTUMN,17294.jpg,train,140.0,5.0,8.0,10.0,0.0,0.0,112.0,30.0,2.0,52.5,0.0,0.0
DARK AUTUMN,17712.jpg,train,126.0,7.0,14.0,46.0,0.0,0.0,107.0,6.0,14.0,29.0,0.0,-1.0
DARK AUTUMN,17760.jpg,train,74.0,5.0,5.0,46.0,8.0,11.0,79.0,11.0,3.0,0.0,0.0,0.0
DARK AUTUMN,18390.jpg,train,122.0,-1.0,8.0,0.0,0.0,0.0,106.0,10.0,6.0,24.0,4.0,1.0
DARK AUTUMN,18495.jpg,train,166.0,1.0,-5.0,131.0,-1.0,1.0,117.0,13.0,4.0,46.0,11.0,10.0
DARK AUTUMN,18716.jpg,train,165.0,-14.0,11.0,37.0,-4.0,5.0,108.5,22.0,-6.0,69.0,-4.0,3.0
DARK AUTUMN,19000.jpg,train,153.0,2.0,4.0,29.0,0.0,2.0,121.0,16.0,5.0,26.0,2.0,1.0
DARK AUTUMN,19169.jpg,train,105.0,8.0,15.0,25.0,2.0,5.0,110.0,11.0,7.0,17.0,2.0,2.0
