image,true_label,pred_label,is_correct_top1,is_correct_top2,is_correct_top3,top1_conf,top2_conf,top3_conf,top1_pred,top2_pred,top3_pred
10528.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6244884729385376,0.3434612452983856,0.016205627471208572,DARK AUTUMN,DARK WINTER,WARM AUTUMN
10962.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.4518270492553711,0.20698398351669312,0.15828317403793335,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
11102.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.7791681885719299,0.16178828477859497,0.04885958880186081,DARK WINTER,DARK AUTUMN,COOL WINTER
11564.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.8943010568618774,0.05236506834626198,0.03985518962144852,DARK AUTUMN,WARM AUTUMN,DARK WINTER
1346.jpg,DARK AUTUMN,COOL WINTER,False,False,False,0.29771822690963745,0.13745109736919403,0.11844615638256073,COOL WINTER,WARM AUTUMN,MUTED AUTUMN
13498.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5921449661254883,0.2140713632106781,0.08222558349370956,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
13499.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.5151341557502747,0.24937142431735992,0.1830301284790039,DARK WINTER,DARK AUTUMN,COOL WINTER
1402.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7580845355987549,0.08248326182365417,0.06508028507232666,DARK AUTUMN,WARM AUTUMN,DARK WINTER
14618.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.5999391078948975,0.19717621803283691,0.12440438568592072,DARK WINTER,DARK AUTUMN,COOL WINTER
15172.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.44605356454849243,0.36400771141052246,0.12194319069385529,DARK WINTER,DARK AUTUMN,COOL WINTER
15701.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7901753187179565,0.16210901737213135,0.0314815528690815,DARK AUTUMN,WARM AUTUMN,DARK WINTER
16022.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.5705921649932861,0.33995234966278076,0.04425309598445892,DARK WINTER,DARK AUTUMN,COOL WINTER
1620.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7916226387023926,0.07994428277015686,0.06824348866939545,DARK AUTUMN,DARK WINTER,WARM AUTUMN
16347.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7902461290359497,0.14683222770690918,0.03918537124991417,DARK AUTUMN,DARK WINTER,WARM AUTUMN
16411.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.8252406120300293,0.05946244299411774,0.04063308238983154,DARK AUTUMN,WARM AUTUMN,COOL WINTER
16725.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.49861133098602295,0.3867039084434509,0.0310869999229908,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
168.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.5001548528671265,0.4781656265258789,0.01035659946501255,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
17504.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5077812671661377,0.23878592252731323,0.14807456731796265,DARK AUTUMN,MUTED AUTUMN,DARK WINTER
17973.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.752538800239563,0.09962448477745056,0.049728479236364365,DARK AUTUMN,MUTED AUTUMN,WARM AUTUMN
18176.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.8500914573669434,0.12181220948696136,0.024618491530418396,DARK WINTER,DARK AUTUMN,COOL WINTER
18351.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.5975015163421631,0.35950013995170593,0.013480591587722301,DARK WINTER,DARK AUTUMN,COOL WINTER
19413.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6908057928085327,0.09717056900262833,0.07600612193346024,DARK AUTUMN,WARM AUTUMN,DARK WINTER
20008.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.900809645652771,0.09392855316400528,0.0044903140515089035,DARK WINTER,DARK AUTUMN,COOL WINTER
20045.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5280502438545227,0.4534111022949219,0.008812442421913147,DARK AUTUMN,DARK WINTER,COOL WINTER
20420.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.42504453659057617,0.19268551468849182,0.17773601412773132,DARK AUTUMN,MUTED AUTUMN,DARK WINTER
20455.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.8391602039337158,0.1419530063867569,0.0072156935930252075,DARK WINTER,DARK AUTUMN,COOL WINTER
20541.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.4537220597267151,0.23385712504386902,0.12591707706451416,DARK AUTUMN,WARM AUTUMN,DARK WINTER
20823.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.6208215951919556,0.342124879360199,0.02023964375257492,DARK WINTER,DARK AUTUMN,COOL WINTER
21295.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.6150998473167419,0.243612140417099,0.048825543373823166,DARK WINTER,DARK AUTUMN,COOL WINTER
21442.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.4242483079433441,0.2560041546821594,0.19863897562026978,DARK WINTER,DARK AUTUMN,COOL WINTER
21657.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.7315093874931335,0.25725221633911133,0.005068239755928516,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
22292.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5716445446014404,0.27663981914520264,0.062455616891384125,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
22389.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7868096828460693,0.1120295524597168,0.057553473860025406,DARK AUTUMN,DARK WINTER,WARM AUTUMN
23031.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.670685350894928,0.30781859159469604,0.007754892576485872,DARK AUTUMN,DARK WINTER,WARM AUTUMN
24219.jpg,DARK AUTUMN,DARK WINTER,False,False,True,0.4300183653831482,0.20165279507637024,0.17254802584648132,DARK WINTER,COOL WINTER,DARK AUTUMN
24239.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6929436922073364,0.27342331409454346,0.018645042553544044,DARK AUTUMN,DARK WINTER,COOL WINTER
24902.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.4078693985939026,0.2600976824760437,0.13097985088825226,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
27838.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.470866858959198,0.4149782657623291,0.032497718930244446,DARK AUTUMN,DARK WINTER,COOL WINTER
28360.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.557313084602356,0.3113287091255188,0.05502234399318695,DARK WINTER,DARK AUTUMN,COOL WINTER
